CONSOLIDATED_ID,REPRESENTATIVE_STOP,STOPS_IN_CLUSTER,NUM_STOPS,LAT,LONG
C114,"DR SUN YAT-SEN MUSEUM/<br>Dr Sun Yat-sen Museum, Caine Road",247,1,22.2813522,114.1518882
C115,"LADDER STREET/<br>Ladder Street, Caine Road",248;473;249;472;1435;250,6,22.283008761666668,114.14849498333335
C116,"EUSTON COURT/<br>Euston Court, Bonham Road",265;471;268,3,22.284722466666665,114.14517276666668
C117,"EASTERN STREET/<br>Eastern Street, Bonham Road",266;673;267;10298;10303;10299;12521,7,22.28349484428571,114.14359831428571
C118,"CENTRE STREET/<br>Centre Street, Bonham Road",380,1,22.2844389,114.1421841
C119,"HKU EAST GATE/<br>HKU East Gate, Bonham Road",381,1,22.28407687,114.1386036
C120,"CHIU SHEUNG SCHOOL HONG KONG/<br>Chiu Sheung School Hong Kong, Pok Fu Lam Road",328;3116,2,22.28361563,114.135848
C121,"LADY HO TUNG HALL/<br>Lady Ho Tung Hall, Pok Fu Lam Road",329;349,2,22.28362391,114.132966
C122,POKFIELD ROAD BUS TERMINUS/<br>Pokfield Road,330;348;3185,3,22.281925986666668,114.13236493333333
C123,"KING'S COLLEGE/<br>King's College, Bonham Road",377,1,22.28425776,114.1398359
C124,"NING YEUNG TERRACE/<br>Ning Yeung Terrace, Bonham Road",378,1,22.28486313,114.1412525
C125,"ABERDEEN STREET/<br>Aberdeen Street, Caine Road",474;12523,2,22.28227764,114.1506315
C126,"GOVERNMENT HOUSE/<br>Government House, Upper Albert Road",777,1,22.27874298,114.1564104
C127,"ARSENAL STREET/<br>Arsenal Street, Hennessy Road",8053;131;8054;121;389;120;318;3251;362;12617,10,22.27759093,114.17076043
C128,"STEWART ROAD/<br>Stewart Road, Hennessy Road",133;134;867;3061;234;118,6,22.277672616666667,114.175545
C129,"CNT TOWER/<br>CNT Tower, Hennessy Road",3131;116;230;236,4,22.278152740000003,114.17882467500002
C130,"CANAL ROAD EAST/<br>Canal Road East, Hennessy Road",276;3034,2,22.279543394999997,114.18170169999999
C131,YEE WO STREET,277;586;12909;136;113,5,22.279984872,114.18481161999998
C132,"VICTORIA PARK/<br>Victoria Park, Causeway Road",137,1,22.28088402,114.1896342
C133,"AUXILIARY MEDICAL SERVICE/<br>Auxiliary Medical Services Headquarters, Princess Margaret Road",781;863,2,22.31732305,114.1783108
C134,"METROPARK HOTEL KOWLOON/<br>Metropark Hotel Kowloon, Waterloo Road",782,1,22.31898469,114.1756611
C135,HEREFORD ROAD/<br>Hereford Road,786,1,22.3340567,114.180398
C136,"MARY ROSE SCHOOL/<br>Mary Rose School, Renfrew Road",787,1,22.33463463,114.1813202
C137,"H.K. BAPTIST UNIVERSITY/<br>HKBU Shaw Campus, Renfrew Road",788;9137;4243,3,22.338511753333336,114.18158563333334
C138,"FU KEUNG COURT/<br>Fu Keung Court, Junction Road",4244,1,22.33948394,114.1843879
C139,"LOK FU PLACE/<br>Lok Fu Place, Junction Road",790,1,22.33777705,114.1864166
C140,WONG TAI SIN BUS TERMINUS,7026;13386,2,22.3408557,114.1953379
C141,"KOWLOON CITY BBI - REGAL ORIENTAL HOTEL/<br>Regal Oriental Hotel, Prince Edward Road East",8097;820,2,22.32873701,114.1921137
C142,THE FAMILY PLANNING ASSOCIATION OF HK,4162;1323;10000119;9025;9026;818;4184;12713;10000158;4139;4163;4120;804;10000120;9027;4145,16,22.3233443725,114.1882149
C143,"GRAND WATERFRONT/<br>Grand Waterfront, To Kwa Wan Road",4165,1,22.31985081,114.1931319
C144,"KWEI CHOW STREET/<br>Kwei Chow Street, To Kwa Wan Road",4166,1,22.31809903,114.1914817
C145,LOK SHAN ROAD,9032;10000150;4150;4181;4167;9033,6,22.317164455,114.19044469999999
C146,"MARSH ROAD/<br>Marsh Road, Gloucester Road",16,1,22.28036975,114.1796495
C147,"STEWART ROAD/<br>Stewart Road, Gloucester Road",1268;3172,2,22.279737625,114.17767
C148,IMMIGRATION TOWER,776;877;31;232,4,22.2790173825,114.17263165
C149,"FENWICK STREET/<br>Fenwick Street, Gloucester Road",3173;19,2,22.27915956,114.1708196
C150,BANK OF CHINA TOWER,616;319,2,22.279863390000003,114.16207689999999
C151,Garden Road,244;256;3018,3,22.277885456666667,114.15982923333333
C152,"KENNEDY HEIGHTS/<br>Kennedy Heights, Kennedy Road",245;605;606,3,22.27584729333333,114.15757843333334
