,STOP_ID,OFF_STOP_ID,TOTAL_PRICE,PATH,new cost,total_distance2,X,Y,longitude,latitude,district,district_encoded
3707,649,122,9.5,"[649, 652, 122]",7.5,8554.480904,837769.0,811890.0,114.19143536840082,22.245763641025672,Southern,10
3708,648,122,9.5,"[648, 653, 122]",7.5,4921.634256,837925.0,812549.0,114.19294938806746,22.25171471113108,Southern,10
3709,1536,122,9.5,"[1536, 541, 122]",7.5,4632.750575,837950.0,813196.0,114.19319259959263,22.25755752774796,Wan Chai,14
3710,435,122,9.5,"[435, 411, 122]",7.5,4202.059341,837930.0,811074.0,114.19299636551077,22.23839445840768,Southern,10
3711,436,122,9.5,"[436, 411, 122]",7.5,3995.585427,838169.0,811099.0,114.19531478595322,22.238619978403317,Southern,10
3712,523,122,9.5,"[523, 10308, 122]",7.5,3495.511505,837822.0,813460.0,114.19195103814354,22.25994174269473,Wan Chai,14
3713,10370,10000286,9.4,"[10370, 10000286]",9.4,11994.07226,831470.0,813674.0,114.13032416324826,22.26186835304476,Southern,10
3714,12575,10000286,9.4,"[12575, 10000286]",9.4,8106.975659,831689.0,813461.0,114.13244950628528,22.259945417462628,Southern,10
3715,12477,10000286,9.4,"[12477, 10000286]",9.4,7733.514818,831722.0,813089.0,114.1327707189146,22.25658609930268,Southern,10
3716,12479,10000286,9.4,"[12479, 10000286]",9.4,7519.232294,831813.0,812895.0,114.13365410439924,22.254834387757917,Southern,10
3717,12906,734,9.4,"[12906, 734]",9.4,6561.170232,838548.0,816557.0,114.1989989987871,22.28790883972343,Eastern,1
3718,287,734,9.4,"[287, 734]",9.4,6446.191973,838660.0,816583.0,114.20008586240417,22.288143483984943,Eastern,1
3719,288,734,9.4,"[288, 734]",9.4,6190.067004,838908.0,816647.0,114.20249251247137,22.28872108152413,Eastern,1
3720,56,734,9.4,"[56, 734]",9.4,5896.985104,838719.0,816423.0,114.20065814220138,22.28669850026605,Eastern,1
3721,289,734,9.4,"[289, 734]",9.4,5706.990367,838612.0,816266.0,114.19961961549537,22.28528084031926,Eastern,1
3722,57,734,9.4,"[57, 734]",9.4,5499.37293,838533.0,816074.0,114.1988527586065,22.283547064661903,Eastern,1
3723,291,734,9.4,"[291, 734]",9.4,5313.276181,838599.0,816248.0,114.19949344234536,22.285118306609025,Eastern,1
3724,292,734,9.4,"[292, 734]",9.4,5093.283,838548.0,816462.0,114.1989988634916,22.2870509299432,Eastern,1
3725,664,734,9.3,"[664, 3236, 593, 734]",5.3,8682.346139,837769.0,814664.0,114.19143796811524,22.270814697289705,Wan Chai,14
3726,663,734,9.3,"[663, 3236, 593, 734]",5.3,8540.443144,837851.0,814809.0,114.19223372582388,22.27212406763216,Wan Chai,14
3727,911,130,9.2,"[911, 130]",9.2,47817.00268,834513.0,818366.0,114.15984221878712,22.304245856676378,Yau Tsim Mong,16
3728,3192,10000285,8.8,"[3192, 3191, 12536, 10000285]",4.8,12688.039,830459.0,814938.0,114.12051088068154,22.27327998779823,Central & Western,0
3729,677,10000285,8.8,"[677, 3191, 12536, 10000285]",4.8,12672.234,830421.0,814903.0,114.12014230242924,22.27296378709025,Southern,10
3730,3190,10000285,8.8,"[3190, 12951, 12536, 10000285]",4.8,12627.1023,830391.0,814947.0,114.11985105879802,22.27336103344004,Southern,10
3731,286,122,8.8,"[286, 285, 62, 122]",4.8,7685.658283,838437.0,816583.0,114.19792191302903,22.288143779614725,Eastern,1
3732,3083,122,8.8,"[3083, 296, 62, 122]",4.8,7657.47216,838413.0,816571.0,114.19768900553376,22.28803544216801,Eastern,1
3733,293,122,8.8,"[293, 296, 62, 122]",4.8,7617.98068,838382.0,816481.0,114.19738806882472,22.287222723921868,Eastern,1
3734,294,122,8.8,"[294, 296, 62, 122]",4.8,7589.803405,838321.0,816399.0,114.19679603517945,22.28648228614836,Eastern,1
3735,54,122,8.8,"[54, 296, 62, 122]",4.8,7583.338496,838344.0,816464.0,114.19701930445078,22.28706924950149,Eastern,1
3736,3084,122,8.8,"[3084, 296, 62, 122]",4.8,7471.072056,838219.0,816462.0,114.19580633515584,22.28705133458532,Eastern,1
3737,53,122,8.8,"[53, 283, 63, 122]",4.8,7250.462927,838257.0,816249.0,114.19617481234204,22.285127766661788,Eastern,1
3738,3174,122,8.8,"[3174, 283, 63, 122]",4.8,7164.550874,838133.0,816022.0,114.19497130131236,22.28307795186024,Eastern,1
3739,51,122,8.8,"[51, 3078, 63, 122]",4.8,7148.689436,838202.0,816314.0,114.19564119283706,22.28571482045047,Eastern,1
3740,295,122,8.8,"[295, 284, 63, 122]",4.8,7141.117671,838234.0,816214.0,114.19595158653226,22.28481172097902,Eastern,1
3741,13204,233,8.8,"[13204, 10000044, 18, 233]",4.8,6873.009234,836005.0,815972.0,114.17432234685526,22.282627414606605,Wan Chai,14
3742,32,233,8.8,"[32, 891, 18, 233]",4.8,6794.243894,836178.0,815914.0,114.17600104311276,22.28210365497104,Wan Chai,14
3743,665,122,8.8,"[665, 13009, 3045, 122]",4.8,3829.117821,837614.0,814385.0,114.18993382829224,22.268295274395896,Wan Chai,14
3744,667,122,8.8,"[667, 3040, 3045, 122]",4.8,3806.550534,837663.0,813748.0,114.19040869268814,22.26254270867791,Wan Chai,14
3745,670,122,8.8,"[670, 3040, 3045, 122]",4.8,3803.069649,837687.0,813760.0,114.19064155236684,22.262651056931457,Wan Chai,14
3746,10300,518,8.8,"[10300, 12522, 518]",6.8,3447.615531,832686.0,815878.0,114.14211687891344,22.281774843809767,Central & Western,0
3747,12524,518,8.8,"[12524, 12522, 518]",6.8,3246.430568,832478.0,815798.0,114.14009876707398,22.281051949009512,Central & Western,0
3748,563,8050,8.8,"[563, 550, 8050]",8.8,15773.26019,840684.0,815714.0,114.2197239752793,22.28029186322553,Eastern,1
3749,564,8050,8.8,"[564, 550, 8050]",8.8,15054.12947,840546.0,815612.0,114.21838465250369,22.279371086588704,Eastern,1
3750,565,8050,8.8,"[565, 550, 8050]",8.8,14759.12269,840841.0,815610.0,114.22124709124928,22.27935226748161,Eastern,1
3751,12392,8050,8.8,"[12392, 550, 8050]",8.8,14283.83096,841168.0,815266.0,114.22441898645997,22.276244829124465,Eastern,1
3752,567,8050,8.8,"[567, 550, 8050]",8.8,14134.01441,841302.0,815199.0,114.22571897617614,22.27563939002297,Eastern,1
3753,917,8050,8.7,"[917, 8050]",8.7,18605.36151,843338.0,814222.0,114.24546986058702,22.266809303901955,Eastern,1
3754,3242,8050,8.7,"[3242, 8050]",8.7,17685.10982,842034.0,813942.0,114.232817013158,22.26428557539567,Eastern,1
3755,12559,8050,8.7,"[12559, 8050]",8.7,17525.29743,842146.0,813828.0,114.23390323752402,22.263255702948133,Eastern,1
3756,3244,8050,8.7,"[3244, 8050]",8.7,17388.73609,842053.0,813728.0,114.23300058291689,22.262352952128182,Eastern,1
3757,3245,8050,8.7,"[3245, 8050]",8.7,17254.65403,842010.0,813601.0,114.2325829415139,22.261206202745225,Eastern,1
3758,3248,8050,8.7,"[3248, 8050]",8.7,16580.62944,842273.0,814184.0,114.23513673462313,22.266470176953533,Eastern,1
3759,99,8050,8.7,"[99, 8050]",8.7,16396.24668,842212.0,814010.0,114.23454424932216,22.26489905528085,Eastern,1
3760,3085,130,8.7,"[3085, 130]",8.7,11540.19312,841020.0,815440.0,114.22298346023508,22.277816574762824,Eastern,1
3761,554,130,8.7,"[554, 130]",8.7,11230.00286,840737.0,815567.0,114.22023783857864,22.278964223033498,Eastern,1
3762,555,130,8.7,"[555, 130]",8.7,10958.09662,840494.0,815689.0,114.21788028898555,22.28006657393599,Eastern,1
3763,556,130,8.7,"[556, 130]",8.7,10761.69652,840672.0,815772.0,114.21960769542684,22.28081567078612,Eastern,1
3764,4,8050,8.7,"[4, 8050]",8.7,9146.650969,842947.0,814013.0,114.24167537929648,22.264923457159707,Eastern,1
3765,5,8050,8.7,"[5, 8050]",8.7,8785.815827,842646.0,813814.0,114.2387542257682,22.26312749714961,Eastern,1
3766,6,8050,8.7,"[6, 8050]",8.7,8545.788745,842419.0,813736.0,114.23655155501184,22.262423930810165,Eastern,1
